ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-0478,oui,"Equal Elbow 3/8""",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462362,AS*
BW-0479,oui,BOX 30 - Swan Neck Faucet Connection Harness -A,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,172180,AS*
BW-0480,oui,"Stem Elbow, 3/8-1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462369,AS*
BW-0481,oui,"Reducing Straight Connector, 5/16-1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462874,AS*
BW-0482,oui,"Stem elbow, 5/16-5/16",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462384,AS*
BW-0483,oui,"Stem elbow, 1/4-1/4",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462368,AS*
BW-0484,oui,"Stem Elbow, 3/8-3/8",BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,462371,AS*
BW-0485,oui,BOX 30 Front wrap - A,BOX BAR1 2021; BOX PRO1 2021,BOX 30 (2021),oui,Borg&Overström,632031,AS*
BW-0493,oui,PRO2 - Top cover panel,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,123187,AS*
BW-0494,oui,PRO2 - Pressure release valve for carbonation tank,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,134612,AS*
BW-0495,oui,PRO2 - Single check valve,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,132445,AS*
BW-0496,oui,PRO2 - Grit filter,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,194121,AS*
BW-0497,oui,PRO2 - 2-port drainage outlet,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,131426,AS*
