n,zone,section,groupe,document,ligne_index_html,equivalent_hub,detail_equivalent,langue,url
18,Bibliothèque,Dépannage,Gearbox (technique),Changement piston (V2),1562,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAi-xVvStABT6g5sJO0TiTkAUbGnq839Dr3Cl8wB8-mIa0?e=71qfL2
18,Bibliothèque,Dépannage,Gearbox (technique),Changement piston (V2),1562,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDm8uiADekvRLCioLucRopwAQRfYpP2ufSgOWEfG921u5w?e=pD9Mv7
18,Bibliothèque,Dépannage,Gearbox (technique),Changement piston (V2),1562,AUCUN,"aucune fiche portail, aucun mapping LIB_FICHE",DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDXyBKjSn4dRYn8zhXkQwQwAcIVvgVcdj5p7fR6i8pKld4?e=toFow1
19,Bibliothèque,Mesures & tests,Tests électriques,Mesure de tension,1571,OUI,fiche portail « Mesure de tension »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDPfGfoSOivTaziHLMXLoRZAS2ny6RbcYwj8hFYua9DqJo?e=zJnBcs
19,Bibliothèque,Mesures & tests,Tests électriques,Mesure de tension,1571,OUI,fiche portail « Mesure de tension »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAP1HwLqZKMTbDrFUV1loGBAe8YoHpxUMoVq2MbW_ZKiM0?e=Tpqamb
19,Bibliothèque,Mesures & tests,Tests électriques,Mesure de tension,1571,OUI,fiche portail « Mesure de tension »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQD1gPA_f9aBRbyRsdiCC3JZAZckyirYt4zMJ8tT_bGbmo8?e=rA0gpt
20,Bibliothèque,Mesures & tests,Tests électriques,Test fusible / continuité,1572,OUI,fiche portail « Test fusible ou continuité »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAVoiBP7x_DS59UOoRWiiZSAYgWGKjKw4ZdhI1KAFDJWyM?e=71JteF
20,Bibliothèque,Mesures & tests,Tests électriques,Test fusible / continuité,1572,OUI,fiche portail « Test fusible ou continuité »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCz-jcrkRK9SIpPrSGJ-dGRAQy-e9lRRgUkcEaOrL4GJF8?e=GD3O9s
20,Bibliothèque,Mesures & tests,Tests électriques,Test fusible / continuité,1572,OUI,fiche portail « Test fusible ou continuité »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCMvGRy0jGgSJZ_IXbMTH45AffCzG5oD8V7gbegT_kmrgc?e=wvSjZc
21,Bibliothèque,Mesures & tests,Carbonatation,Mesurer le taux de CO₂ dans l'eau,1573,OUI,fiche portail « Mesurer le taux de CO2 dans l'eau »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQC1TdM4mmkiTYIw2ckWdNnbARoEr3p1b5aW0DU71hrUktU?e=6DMZrN
21,Bibliothèque,Mesures & tests,Carbonatation,Mesurer le taux de CO₂ dans l'eau,1573,OUI,fiche portail « Mesurer le taux de CO2 dans l'eau »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDLLjqhkuULRrm7y4pEzVhcATtbMqBxGZFW228c-ijl3F0?e=0p1vrH
21,Bibliothèque,Mesures & tests,Carbonatation,Mesurer le taux de CO₂ dans l'eau,1573,OUI,fiche portail « Mesurer le taux de CO2 dans l'eau »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDjbXF4UfyNTq9CG5O1_CgmAaWVG-eaSAirJkA0jWBXXzY?e=Mp4oDe
22,Bibliothèque,Astuces,Perçage,Agrandir un trou de scie cloche,1575,OUI,fiche portail « Agrandir un trou de scie cloche »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQC-W687KEObR5IDcp0_LnpoAVycvIHeZw-GC9AhoRcMTuQ?e=O5B8ls
22,Bibliothèque,Astuces,Perçage,Agrandir un trou de scie cloche,1575,OUI,fiche portail « Agrandir un trou de scie cloche »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAifwJTSHL-Q40Eq8pTMPOlARfDNVt_u254cNNyjIAs80o?e=kNf2nW
22,Bibliothèque,Astuces,Perçage,Agrandir un trou de scie cloche,1575,OUI,fiche portail « Agrandir un trou de scie cloche »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCCx3Gzf9wwTKNhdBmC9kcCAVyCy4P07hFCUHqsSterODA?e=5nemOm
23,Bibliothèque,Astuces,Perçage,Transformation meuble coulissant avec charnières,1576,OUI,fiche portail « Transformation d'un meuble coulissant avec charnières »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAssIFys-p0SZ8v_ZGl_WuVAfOUhjJpO2T2UQSqrg2ZYdI?e=C1yasW
23,Bibliothèque,Astuces,Perçage,Transformation meuble coulissant avec charnières,1576,OUI,fiche portail « Transformation d'un meuble coulissant avec charnières »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCn_yd0FIQcQbT8wWcYPg2iAeL4Io-sVj165azaUKGt_wA?e=5r41Td
23,Bibliothèque,Astuces,Perçage,Transformation meuble coulissant avec charnières,1576,OUI,fiche portail « Transformation d'un meuble coulissant avec charnières »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDIRSDys0WiQoXtgrKD1dbsAbX8212vqQjXcXQJkbshCYA?e=h90ia1
24,Bibliothèque,Astuces,Joints,Faire un joint téflon,1577,OUI,fiche portail « Faire un joint téflon »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQB-JC9PMuAsTq9LD38UXZRtAQ4ZvjPzRUA03M3Qv8XykVY?e=h3LbnU
24,Bibliothèque,Astuces,Joints,Faire un joint téflon,1577,OUI,fiche portail « Faire un joint téflon »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAtSyBo9wY2Sbt2Y17lB4pPAbT7jfkUKQGj_lsdKvn_4vI?e=SR2eS6
24,Bibliothèque,Astuces,Joints,Faire un joint téflon,1577,OUI,fiche portail « Faire un joint téflon »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCtJav1_R-rQJfYC68DnFgvAc2QNqqGopag996q1two3gA?e=ugceyL
