sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-0508,PRO2 - Touch Icon Illumination Diffuser,PRO2,Borg&Overström,171269,,,,
BW-0509,PRO2 - LED PCB Wiring Loom,PRO2,Borg&Overström,172223,,,,
BW-0510,PRO2 - Right Side Panel inc handle,PRO2,Borg&Overström,121851,,,,
BW-0511,PRO2 - CO2 Single Gauge Regulator with elbow,PRO2,Borg&Overström,193220,,,,
BW-0635,AQTiV flow compensator,AQTiV COMBI; AQTiV ONE,Superinox,R040096-030,,,,
BW-0646,PRO1 - Refrigeration probe - A,PRO1; BOX 30 (2021),Borg&Overström,720023,,43.0,CHF,
BW-0647,PRO1 - Level probe - A,PRO1; BOX 30 (2021),Borg&Overström,637327,,,,
BW-0783,PRO2 - Loom solenoids Rev2,PRO2,Borg&Overström,702539,,,,
BW-0973,Gearbox - Handle (x10),AQTiV COMBI; AQTiV ONE,,,,,,
BW-0974,Gearbox - Hat without handle (x5),AQTiV COMBI; AQTiV ONE,,,,,,
BW-0975,Gearbox - Lever (x10),AQTiV COMBI; AQTiV ONE,,,,,,
BW-0989,Condenser,BOX 20,Italbedis,111005,CONDENSATORE REFRIGERETTE,24.7,EUR,0.6
BW-0990,Solenoid valve (per schema),BOX 20,,,,,,
BW-0991,Thermostat Ranco K50 P1127.0,BOX 20,Italbedis,401030,TERMOSTATO PLUS/E RANCO K50 P1127.0,14.95,EUR,0.6
BW-0992,Solenoid-valve bracket,BOX 20,Italbedis,105085,STAFFA EV H2ONDA SLIM,8.37,EUR,0.6
BW-0993,Tank support bracket,BOX 20,Italbedis,105087,STAFFA SUPP. VASCA H2ONDA SLIM,10.45,EUR,0.6
BW-0994,"Outer casing / cabinet, black",BOX 20,Italbedis,100048,MANTELLO SLIM H2ONDA NERO,38.0,EUR,0.6
BW-0995,Base frame,BOX 20,Italbedis,102045,BASAMENTO SLIM H2ONDA,28.0,EUR,0.6
BW-0996,Pump bracket,BOX 20,Italbedis,105086,STAFFA POMPA H2ONDA SLIM,14.3,EUR,0.6
